,0
0,Afghanistan
1,Albania
2,Algeria
3,American Samoa
4,Andorra
5,Angola
6,Anguilla
7,Antigua and Barbuda
8,Argentina
9,Armenia
10,Aruba
11,Australia
12,Australia/New Zealand
13,Austria
14,Azerbaijan
15,Bahamas
16,Bahrain
17,Bangladesh
18,Barbados
19,Belarus
20,Belgium
21,Belize
22,Benin
23,Bermuda
24,Bhutan
25,Bolivia (Plurinational State of)
26,Bosnia and Herzegovina
27,Botswana
28,Brazil
29,British Virgin Islands
30,Brunei Darussalam
31,Bulgaria
32,Burkina Faso
33,Burundi
34,Cabo Verde
35,Cambodia
36,Cameroon
37,Canada
38,Caribbean Netherlands
39,Cayman Islands
40,Central African Republic
41,Central America
42,Central Asia
43,Chad
44,Channel Islands
45,Chile
46,China
47,"China, Hong Kong SAR"
48,"China, Macao SAR"
49,Colombia
50,Comoros
51,Congo
52,Cook Islands
53,Costa Rica
54,Croatia
55,Cuba
56,Curaçao
57,Cyprus
58,Czechia
59,Côte d'Ivoire
60,Dem. People's Republic of Korea
61,Democratic Republic of the Congo
62,Denmark
63,Djibouti
64,Dominica
65,Dominican Republic
66,Eastern Asia
67,Ecuador
68,Egypt
69,El Salvador
70,Equatorial Guinea
71,Eritrea
72,Estonia
73,Ethiopia
74,Faeroe Islands
75,Falkland Islands (Malvinas)
76,Fiji
77,Finland
78,France
79,French Guiana
80,French Polynesia
81,Gabon
82,Gambia
83,Georgia
84,Germany
85,Ghana
86,Gibraltar
87,Greece
88,Greenland
89,Grenada
90,Guadeloupe
91,Guam
92,Guatemala
93,Guinea
94,Guinea-Bissau
95,Guyana
96,Haiti
97,Holy See
98,Honduras
99,Hungary
100,Iceland
101,India
102,Indonesia
103,Iran (Islamic Republic of)
104,Iraq
105,Ireland
106,Isle of Man
107,Israel
108,Italy
109,Jamaica
110,Japan
111,Jordan
112,Kazakhstan
113,Kenya
114,Kiribati
115,Kuwait
116,Kyrgyzstan
117,Lao People's Democratic Republic
118,Latvia
119,Lebanon
120,Lesotho
121,Liberia
122,Libya
123,Liechtenstein
124,Lithuania
125,Luxembourg
126,Madagascar
127,Malawi
128,Malaysia
129,Maldives
130,Mali
131,Malta
132,Marshall Islands
133,Martinique
134,Mauritania
135,Mauritius
136,Mayotte
137,Melanesia
138,Mexico
139,Micronesia
140,Micronesia (Fed. States of)
141,Monaco
142,Mongolia
143,Montenegro
144,Montserrat
145,Morocco
146,Mozambique
147,Myanmar
148,Namibia
149,Nauru
150,Nepal
151,Netherlands
152,New Caledonia
153,New Zealand
154,Nicaragua
155,Niger
156,Nigeria
157,Niue
158,Northern Mariana Islands
159,Norway
160,Oman
161,Pakistan
162,Palau
163,Panama
164,Papua New Guinea
165,Paraguay
166,Peru
167,Philippines
168,Poland
169,Polynesia
170,Portugal
171,Puerto Rico
172,Qatar
173,Republic of Korea
174,Republic of Moldova
175,Romania
176,Russian Federation
177,Rwanda
178,Réunion
179,Saint Helena
180,Saint Kitts and Nevis
181,Saint Lucia
182,Saint Pierre and Miquelon
183,Saint Vincent and the Grenadines
184,Samoa
185,San Marino
186,Sao Tome and Principe
187,Saudi Arabia
188,Senegal
189,Serbia
190,Seychelles
191,Sierra Leone
192,Singapore
193,Sint Maarten (Dutch part)
194,Slovakia
195,Slovenia
196,Solomon Islands
197,Somalia
198,South Africa
199,South Sudan
200,Southern Asia
201,Spain
202,Sri Lanka
203,State of Palestine
204,Sudan
205,Suriname
206,Swaziland
207,Sweden
208,Switzerland
209,Syrian Arab Republic
210,TFYR Macedonia
211,Tajikistan
212,Thailand
213,Timor-Leste
214,Togo
215,Tokelau
216,Tonga
217,Trinidad and Tobago
218,Tunisia
219,Turkey
220,Turkmenistan
221,Turks and Caicos Islands
222,Tuvalu
223,Uganda
224,Ukraine
225,United Arab Emirates
226,United Kingdom
227,United Republic of Tanzania
228,United States Virgin Islands
229,United States of America
230,Uruguay
231,Uzbekistan
232,Vanuatu
233,Venezuela (Bolivarian Republic of)
234,Viet Nam
235,Wallis and Futuna Islands
236,Yemen
237,Zambia
238,Zimbabwe
